Показник,infl_ukr,gdp_ua
2010-01-31,101.8,
2010-02-28,101.9,
2010-03-31,100.9,
2010-04-30,99.7,
2010-05-31,99.4,
2010-06-30,99.6,
2010-07-31,99.8,
2010-08-31,101.2,
2010-09-30,102.9,
2010-10-31,100.5,
2010-11-30,100.3,
2010-12-31,100.8,
2011-01-31,101.0,
2011-02-28,100.9,
2011-03-31,101.4,
2011-04-30,101.3,
2011-05-31,100.8,
2011-06-30,100.4,
2011-07-31,98.7,
2011-08-31,99.6,
2011-09-30,100.1,
2011-10-31,100.0,
2011-11-30,100.1,
2011-12-31,100.2,
2012-01-31,100.2,
2012-02-29,100.2,
2012-03-31,100.3,
2012-04-30,100.0,
2012-05-31,99.7,
2012-06-30,99.7,
2012-07-31,99.8,
2012-08-31,99.7,
2012-09-30,100.1,
2012-10-31,100.0,
2012-11-30,99.9,
2012-12-31,100.2,
2013-01-31,100.2,
2013-02-28,99.9,
2013-03-31,100.0,
2013-04-30,100.0,
2013-05-31,100.1,
2013-06-30,100.0,
2013-07-31,99.9,
2013-08-31,99.3,
2013-09-30,100.0,
2013-10-31,100.4,
2013-11-30,100.2,
2013-12-31,100.5,
2014-01-31,100.2,
2014-02-28,100.6,
2014-03-31,102.2,
2014-04-30,103.3,
2014-05-31,103.8,
2014-06-30,101.0,
2014-07-31,100.4,
2014-08-31,100.8,
2014-09-30,102.9,
2014-10-31,102.4,
2014-11-30,101.9,
2014-12-31,103.0,
2015-01-31,103.1,
2015-02-28,105.3,
2015-03-31,110.8,375991.0
2015-04-30,114.0,
2015-05-31,102.2,
2015-06-30,100.4,456715.0
2015-07-31,99.0,
2015-08-31,99.2,
2015-09-30,102.3,566997.0
2015-10-31,98.7,
2015-11-30,102.0,
2015-12-31,100.7,588841.0
2016-01-31,100.9,
2016-02-29,99.6,
2016-03-31,101.0,455298.0
2016-04-30,103.5,
2016-05-31,100.1,
2016-06-30,99.8,535701.0
2016-07-31,99.9,
2016-08-31,99.7,
2016-09-30,101.8,671456.0
2016-10-31,102.8,
2016-11-30,101.8,
2016-12-31,100.9,722912.0
2017-01-31,101.1,
2017-02-28,101.0,
2017-03-31,101.8,591765.0
2017-04-30,100.9,
2017-05-31,101.3,
2017-06-30,101.6,664307.0
2017-07-31,100.2,
2017-08-31,99.9,
2017-09-30,102.0,833640.0
2017-10-31,101.2,
2017-11-30,100.9,
2017-12-31,101.0,891515.0
2018-01-31,101.5,
2018-02-28,100.9,
2018-03-31,101.1,706141.0
2018-04-30,100.8,
2018-05-31,100.0,
2018-06-30,100.0,809938.0
2018-07-31,99.3,
2018-08-31,100.0,
2018-09-30,101.9,994728.0
2018-10-31,101.7,
2018-11-30,101.4,
2018-12-31,100.8,1049495.0
2019-01-31,101.0,
2019-02-28,100.5,
2019-03-31,100.9,820006.0
2019-04-30,101.0,
2019-05-31,100.7,
2019-06-30,99.5,932459.0
2019-07-31,99.4,
2019-08-31,99.7,
2019-09-30,100.7,1111962.0
2019-10-31,100.7,
2019-11-30,100.1,
2019-12-31,99.8,1112771.0
2020-01-31,100.2,
2020-02-29,99.7,
2020-03-31,100.8,858415.0
2020-04-30,100.8,
2020-05-31,100.3,
2020-06-30,100.2,879921.0
2020-07-31,99.4,
2020-08-31,99.8,
2020-09-30,100.5,1173113.0
2020-10-31,101.0,
2020-11-30,101.3,
2020-12-31,100.9,1310577.0
2021-01-31,101.3,
2021-02-28,101.0,
2021-03-31,101.7,1019715.0
2021-04-30,100.7,
2021-05-31,101.3,
2021-06-30,100.2,1182310.0
2021-07-31,100.1,
2021-08-31,99.8,
2021-09-30,101.2,1512884.0
2021-10-31,100.9,
2021-11-30,100.8,
2021-12-31,100.6,1735940.0
2022-01-31,101.3,
2022-02-28,101.6,
2022-03-31,104.5,1091508.0
2022-04-30,103.1,
2022-05-31,102.7,
2022-06-30,103.1,1030900.0
2022-07-31,100.7,
2022-08-31,101.1,
2022-09-30,101.9,1461098.0
2022-10-31,102.5,
2022-11-30,100.7,
2022-12-31,100.7,1655608.0
2023-01-31,100.8,
2023-02-28,100.7,
2023-03-31,101.5,1388161.0
2023-04-30,100.2,
2023-05-31,100.5,
2023-06-30,100.8,1483162.0
2023-07-31,99.4,
2023-08-31,98.6,
2023-09-30,100.5,1807595.0
2023-10-31,100.8,
2023-11-30,100.5,
2023-12-31,100.7,1949043.0
2024-01-31,100.4,
2024-02-29,100.3,
2024-03-31,100.5,1629400.0
2024-04-30,100.2,
2024-05-31,100.6,
2024-06-30,102.2,1742535.0
2024-07-31,100.0,
2024-08-31,100.6,
2024-09-30,101.5,2092353.0
2024-10-31,101.8,
2024-11-30,101.9,
2024-12-31,101.4,2194371.0
2025-01-31,101.2,
2025-02-28,100.8,
2025-03-31,101.5,1923124.0
2025-04-30,100.7,
2025-05-31,101.3,
2025-06-30,100.8,2021451.0
2025-07-31,99.8,
2025-08-31,99.8,
2025-09-30,100.3,
2025-10-31,100.9,
2025-11-30,100.4,
2025-12-31,100.2,
2026-01-31,100.7,
2026-02-28,101.0,
