Показник,ВВП України,додана вартість,експорт,kyiv_gdp,kyiv_added_price,ukr_index_house_prices,empl_kyiv,infl_ukr
2015Q1,375991.0,21029,249852,104030.0,1125.0,,723.2,106.39999999999999
2015Q2,456715.0,18740,250632,110355.53102553968,1183.6071162506519,,722.5,105.53333333333335
2015Q3,566997.0,14392,266601,116555.6117900676,1247.8430979196662,,727.1,100.16666666666667
2015Q4,588841.0,13351,278843,122660.40343967907,1319.1126337635856,,726.9,100.46666666666665
2016Q1,455298.0,14755,252255,128638.0,1398.0,100.9,729.3,100.5
2016Q2,535701.0,16065,283545,134537.86208121036,1483.8963367889821,98.0,728.8,101.13333333333333
2016Q3,671456.0,15935,299653,140840.88990060487,1574.5212588489098,101.1,724.5,100.46666666666665
2016Q4,722912.0,18690,340500,148124.1334981125,1666.911217207929,105.2,722.6,101.83333333333333
2017Q1,591765.0,19240,343094,156829.0,1756.0,101.0,729.9,101.3
2017Q2,664307.0,20098,342075,166950.2360643123,1837.6070685027555,100.6,732.8,101.26666666666667
2017Q3,833640.0,21088,352370,177968.9855509116,1918.6826161489266,100.4,727.7,100.7
2017Q4,891515.0,22966,397174,188786.8162700858,2005.102586630789,101.4,728.2,101.03333333333335
2018Q1,706141.0,23340,378620,198142.0,2102.0,102.2,743.0,101.16666666666667
2018Q2,809938.0,21384,384456,205083.4224505742,2212.837998224086,101.1,745.0,100.26666666666667
2018Q3,994728.0,25846,400906,210329.3793097528,2347.4760262379227,100.5,741.5,100.39999999999999
2018Q4,1049495.0,28383,446529,214606.5015450484,2513.370759830049,101.1,741.7,101.3
2019Q1,820006.0,26938,412410,218647.0,2716.0,102.0,749.2,100.8
2019Q2,932459.0,28372,412531,223053.84464727584,2952.384345187244,102.9,754.7,100.39999999999999
2019Q3,1111962.0,30542,412229,228306.03440473962,3216.1883075485143,100.2,757.7,99.93333333333334
2019Q4,1112771.0,29624,402696,234687.19732806442,3490.126517220135,102.8,754.8,100.2
2020Q1,858415.0,31617,382177,242406.0,3753.0,100.4,758.4,100.23333333333333
2020Q2,879921.0,30381,356144,251613.10879207918,3984.089549499009,102.1,744.2,100.43333333333334
2020Q3,1173113.0,35650,411047,262637.80174404243,4168.532755275793,100.5,742.9,99.89999999999999
2020Q4,1310577.0,34255,489692,275889.47019334283,4289.411185217851,101.4,738.8,101.06666666666666
2021Q1,1019715.0,37974,456972,291519.0,4326.0,103.7,716.7,101.33333333333333
2021Q2,1182310.0,38892,530968,,,105.2,724.4,100.73333333333333
2021Q3,1512884.0,42630,592092,,,102.5,731.4,100.36666666666667
2021Q4,1735940.0,42437,637828,,,104.2,727.2,100.76666666666667
2022Q1,1091508.0,40507,494218,,,104.5,,102.46666666666665
2022Q2,1030900.0,34503,341639,,,103.8,,102.96666666666665
2022Q3,1461098.0,37156,478512,,,101.9,,101.23333333333333
2022Q4,1655608.0,44199,542641,,,101.0,,101.3
2023Q1,1388161.0,45375,506622,,,100.9,,101.0
2023Q2,1483162.0,37751,468480,,,105.5,,100.5
2023Q3,1807595.0,38204,419478,,,104.9,,99.5
2023Q4,1949043.0,44989,481164,,,102.1,,100.66666666666667
2024Q1,1629400.0,51253,547562,,,105.3,,100.39999999999999
2024Q2,1742535.0,61077,556476,,,102.2,,101.0
2024Q3,2092353.0,59171,555756,,,103.9,,100.7
2024Q4,2194371.0,61965,613786,,,104.0,,101.7
2025Q1,1923124.0,44801,549603,,,104.2,,101.16666666666667
2025Q2,2021451.0,52024,556021,,,103.6,,100.93333333333334
