Показник,ВВП України,додана вартість,експорт,kyiv_gdp,kyiv_added_price,ukr_index_house_prices,empl_kyiv,infl_ukr,unempl_kyiv,constr_ind,finance_ind,import_ua,salaries_ind_kyiv,service_ind,house_space,enterprises
2015Q1,375991.0,21029,249852,23600.94417606704,261.6595386555336,,723.2,106.39999999999999,61.1,-44.0,-45.0,263833,119.5,-33.0,,88249.68669053636
2015Q2,456715.0,18740,250632,25205.62744717867,274.1178873467987,,722.5,105.53333333333335,53.6,-46.9,-35.3,255842,122.92367977152284,-29.1,,87517.3180560616
2015Q3,566997.0,14392,266601,26824.26211017945,287.43722927056814,,727.1,100.16666666666667,50.2,-44.8,-32.7,279179,126.16739636787679,-25.7,,85287.83228381332
2015Q4,588841.0,13351,278843,28399.166266574823,301.7853447270996,,726.9,100.46666666666665,50.7,-38.0,-27.0,299000,129.08545715446414,-19.7,,82385.16296958874
2016Q1,455298.0,14755,252255,29944.36343193041,321.80169439187324,100.9,729.3,100.5,57.3,-34.8,-24.7,297742,131.5,-17.7,,76879.38347475132
2016Q2,535701.0,16065,283545,31436.53535895976,339.17746580612015,98.0,728.8,101.13333333333333,52.4,-29.9,-17.0,297743,133.28816188951677,-14.3,,75541.11579417462
2016Q3,671456.0,15935,299653,32900.413466578466,358.2878918786344,101.1,724.5,100.46666666666665,52.9,-30.7,-13.0,357989,134.5087696872846,-11.0,,76036.58167916053
2016Q4,722912.0,18690,340500,34356.68774253136,378.7329479233722,105.2,722.6,101.83333333333333,53.5,-29.2,-12.3,387641,135.22990627056745,-10.1,,77911.91905191353
2017Q1,591765.0,19240,343094,36262.542362727174,408.2626717485147,101.0,729.9,101.3,54.1,-28.8,-16.3,380437,135.5,-11.6,,81565.90593324827
2017Q2,664307.0,20098,342075,38007.22625904179,429.4593588628579,100.6,732.8,101.26666666666667,51.0,-24.0,-12.7,388803,135.35564270969658,-7.4,,84049.97922572627
2017Q3,833640.0,21088,352370,40056.90550739739,449.61370696434426,100.4,727.7,100.7,50.0,-22.9,-11.3,423232,134.68491748853765,-6.2,,85797.10342136177
2017Q4,891515.0,22966,397174,42502.325870833636,468.664262424283,101.4,728.2,101.03333333333335,51.9,-24.5,-10.3,474334,133.316976628023,-7.2,,86843.01141966366
2018Q1,706141.0,23340,378620,45694.80847271806,492.3090001662141,102.2,743.0,101.16666666666667,52.2,-21.8,-6.3,430246,131.1,-1.8,876116.0,87271.94783246692
2018Q2,809938.0,21384,384456,48455.696664146184,512.6715845345881,101.1,745.0,100.26666666666667,50.0,-20.1,-6.7,436342,128.0320735076478,-4.9,1523985.0,88095.56987999761
2018Q3,994728.0,25846,400906,50977.38386284285,535.3787812977857,100.5,741.5,100.39999999999999,49.3,-17.9,-3.3,517096,124.24551734117394,-2.0,2436786.0,89385.14766875334
2018Q4,1049495.0,28383,446529,53014.11100029287,561.6406340014124,101.1,741.7,101.3,51.1,-18.3,-2.3,537618,120.01970121528382,-3.8,4062604.0,91124.3346187821
2019Q1,820006.0,26938,412410,53054.482455545105,613.0503845293747,102.0,749.2,100.8,51.2,-13.5,3.3,463327,115.7,-0.6,1135242.0,93892.94215491017
2019Q2,932459.0,28372,412531,54202.82261126697,651.6425647333562,102.9,754.7,100.39999999999999,48.5,-12.4,6.3,490176,111.68948138796884,0.2,2293419.0,95297.57690029353
2019Q3,1111962.0,30542,412229,55192.53805878578,698.0149478391213,100.2,757.7,99.93333333333334,47.1,-13.9,7.0,517496,108.20352223197375,1.5,3598743.0,95880.0097132097
2019Q4,1112771.0,29624,402696,56197.15687440212,753.292102898148,102.8,754.8,100.2,48.3,-19.5,5.3,488946,105.63344338687543,-0.1,5127357.0,95526.47123158663
2020Q1,858415.0,31617,382177,58251.74810031402,838.1154089579145,100.4,758.4,100.23333333333333,49.1,-25.1,10.3,411051,104.4,-2.1,887514.0,93663.301557767
2020Q2,879921.0,30381,356144,59628.79172615369,905.7195953065414,102.1,744.2,100.43333333333334,53.9,-45.2,-34.7,334235,104.86599055360179,-42.0,1715138.0,93014.39680092534
2020Q3,1173113.0,35650,411047,61275.2726597906,973.0079361316573,100.5,742.9,99.89999999999999,55.1,-36.2,-33.7,440859,107.37653029139162,-34.5,2739451.0,93061.1580166378
2020Q4,1310577.0,34255,489692,63250.18751374168,1036.1570596038873,101.4,738.8,101.06666666666666,55.8,-30.8,-14.3,516801,112.36685164730241,-20.0,3885843.0,94083.14362466983
2021Q1,1019715.0,37974,456972,67975.9218425568,1035.4500863053106,103.7,716.7,101.33333333333333,61.4,-29.9,-20.0,479220,120.2,-25.8,1124134.0,94917.4307328789
2021Q2,1182310.0,38892,530968,70885.86745320822,1076.6278854862383,105.2,724.4,100.73333333333333,56.8,-27.4,-19.0,514298,,-27.0,2298231.0,95036.03611518486
2021Q3,1512884.0,42630,592092,74319.442381967,1102.9957887482078,102.5,731.4,100.36666666666667,55.7,-22.2,-5.0,609208,,-5.8,4081002.0,92999.3688332668
2021Q4,1735940.0,42437,637828,78337.76832226799,1110.9262394602426,104.2,727.2,100.76666666666667,57.3,-21.8,-6.0,687155,,-7.8,5308845.0,87881.16431866944
2022Q1,1091508.0,40507,494218,,,104.5,,102.46666666666665,,-18.9,10.7,536898,,-0.4,583396.0,74176.73532847226
2022Q2,1030900.0,34503,341639,,,103.8,,102.96666666666665,,-69.4,-67.3,541567,,-55.1,1157588.0,67164.13007929918
2022Q3,1461098.0,37156,478512,,,101.9,,101.23333333333333,,-67.8,-57.0,743119,,-39.1,2271794.0,61562.0486989496
2022Q4,1655608.0,44199,542641,,,101.0,,101.3,,-60.3,-28.7,900209,,-22.6,3239586.0,59021.08589327897
2023Q1,1388161.0,45375,506622,,,100.9,,101.0,,-55.0,-16.7,857278,,-14.1,,70530.5977040107
2023Q2,1483162.0,37751,468480,,,105.5,,100.5,,-49.8,-8.0,751741,,-8.5,,74154.58645801182
2023Q3,1807595.0,38204,419478,,,104.9,,99.5,,-43.3,-3.3,806630,,-5.7,,79110.47038397829
2023Q4,1949043.0,44989,481164,,,102.1,,100.66666666666667,,-42.8,6.3,845914,,-5.5,3389532.0,84056.34545399921
2024Q1,1629400.0,51253,547562,,,105.3,,100.39999999999999,,-40.5,-3.3,830886,,-7.8,,73947.96025121157
2024Q2,1742535.0,61077,556476,,,102.2,,101.0,,-41.3,-4.7,931939,,-7.4,,74707.38607370525
2024Q3,2092353.0,59171,555756,,,103.9,,100.7,,-46.4,-5.3,992589,,-8.0,3111724.0,72061.9940505221
2024Q4,2194371.0,61965,613786,,,104.0,,101.7,,-40.8,-4.0,1077036,,-7.7,4518426.0,64879.65962456106
2025Q1,1923124.0,44801,549603,,,104.2,,101.16666666666667,,-38.7,,1025075,,-6.4,1036502.0,
2025Q2,2021451.0,52024,556021,,,103.6,,100.93333333333334,,-34.9,,1103501,,-7.0,1937425.0,
